suite_id,graph_family,scenario_id,metric_kind,n_services,n_edges,n_instances,theta,rho,k_edges,degree,replicas,exact_availability,mc_estimate,mc_abs_error,ci_half_width,note
stochastic_connectivity_synthetic,chain,k=16:q=0.99,scale_closed_form,17,16,17,0.99,0.99,16,,,0.717730532598,,,,uniform theta=rho=q closed-form chain
stochastic_connectivity_synthetic,chain,k=32:q=0.99,scale_closed_form,33,32,33,0.99,0.99,32,,,0.52034052265,,,,uniform theta=rho=q closed-form chain
stochastic_connectivity_synthetic,chain,k=64:q=0.99,scale_closed_form,65,64,65,0.99,0.99,64,,,0.273489151022,,,,uniform theta=rho=q closed-form chain
stochastic_connectivity_synthetic,chain,k=128:q=0.99,scale_closed_form,129,128,129,0.99,0.99,128,,,0.0755518340675,,,,uniform theta=rho=q closed-form chain
stochastic_connectivity_synthetic,chain,k=256:q=0.99,scale_closed_form,257,256,257,0.99,0.99,256,,,0.00576573700098,,,,uniform theta=rho=q closed-form chain
stochastic_connectivity_synthetic,fanout,d=16:q=0.99,scale_closed_form,17,16,17,0.99,0.99,,16,,0.717730532598,,,,uniform theta=rho=q mandatory fan-out
stochastic_connectivity_synthetic,fanout,d=32:q=0.99,scale_closed_form,33,32,33,0.99,0.99,,32,,0.52034052265,,,,uniform theta=rho=q mandatory fan-out
stochastic_connectivity_synthetic,fanout,d=64:q=0.99,scale_closed_form,65,64,65,0.99,0.99,,64,,0.273489151022,,,,uniform theta=rho=q mandatory fan-out
stochastic_connectivity_synthetic,fanout,d=128:q=0.99,scale_closed_form,129,128,129,0.99,0.99,,128,,0.0755518340675,,,,uniform theta=rho=q mandatory fan-out
stochastic_connectivity_synthetic,chain,k=16:q=0.995,scale_closed_form,17,16,17,0.995,0.995,16,,,0.847542850302,,,,uniform theta=rho=q closed-form chain
stochastic_connectivity_synthetic,chain,k=32:q=0.995,scale_closed_form,33,32,33,0.995,0.995,32,,,0.721938575979,,,,uniform theta=rho=q closed-form chain
stochastic_connectivity_synthetic,chain,k=64:q=0.995,scale_closed_form,65,64,65,0.995,0.995,64,,,0.523814379383,,,,uniform theta=rho=q closed-form chain
stochastic_connectivity_synthetic,chain,k=128:q=0.995,scale_closed_form,129,128,129,0.995,0.995,128,,,0.275760305576,,,,uniform theta=rho=q closed-form chain
stochastic_connectivity_synthetic,chain,k=256:q=0.995,scale_closed_form,257,256,257,0.995,0.995,256,,,0.076425875509,,,,uniform theta=rho=q closed-form chain
stochastic_connectivity_synthetic,fanout,d=16:q=0.995,scale_closed_form,17,16,17,0.995,0.995,,16,,0.847542850302,,,,uniform theta=rho=q mandatory fan-out
stochastic_connectivity_synthetic,fanout,d=32:q=0.995,scale_closed_form,33,32,33,0.995,0.995,,32,,0.721938575979,,,,uniform theta=rho=q mandatory fan-out
stochastic_connectivity_synthetic,fanout,d=64:q=0.995,scale_closed_form,65,64,65,0.995,0.995,,64,,0.523814379383,,,,uniform theta=rho=q mandatory fan-out
stochastic_connectivity_synthetic,fanout,d=128:q=0.995,scale_closed_form,129,128,129,0.995,0.995,,128,,0.275760305576,,,,uniform theta=rho=q mandatory fan-out
stochastic_connectivity_synthetic,chain,k=16:q=0.999,scale_closed_form,17,16,17,0.999,0.999,16,,,0.967522584684,,,,uniform theta=rho=q closed-form chain
stochastic_connectivity_synthetic,chain,k=32:q=0.999,scale_closed_form,33,32,33,0.999,0.999,32,,,0.937036988862,,,,uniform theta=rho=q closed-form chain
stochastic_connectivity_synthetic,chain,k=64:q=0.999,scale_closed_form,65,64,65,0.999,0.999,64,,,0.878917235731,,,,uniform theta=rho=q closed-form chain
