suite_id,family,scenario_id,metric_kind,n_services,n_edges,n_instances,theta,rho,k_edges,degree,replicas,exact_availability,mc_estimate,mc_abs_error,ci_half_width,baseline_availability,reference_availability,gap,signed_bias,note
stochastic_connectivity_synthetic,Synchronous chain,k=1:theta=0.9:rho=0.9,oracle_mc,,,,0.9,0.9,1,,,0.729,0.72953,0.00053,0.00194676810172,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=1:theta=0.9:rho=0.95,oracle_mc,,,,0.9,0.95,1,,,0.7695,0.770225,0.000725,0.00184371286461,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=1:theta=0.9:rho=0.99,oracle_mc,,,,0.9,0.99,1,,,0.8019,0.801635,0.000265,0.00174764794957,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=1:theta=0.95:rho=0.9,oracle_mc,,,,0.95,0.9,1,,,0.81225,0.810895,0.001355,0.00171619609879,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=1:theta=0.95:rho=0.95,oracle_mc,,,,0.95,0.95,1,,,0.857375,0.85791,0.000535,0.00153015602043,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=1:theta=0.95:rho=0.99,oracle_mc,,,,0.95,0.99,1,,,0.893475,0.894745,0.00127,0.00134494368797,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=1:theta=0.99:rho=0.9,oracle_mc,,,,0.99,0.9,1,,,0.88209,0.88176,0.00033,0.00141511097947,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=1:theta=0.99:rho=0.95,oracle_mc,,,,0.99,0.95,1,,,0.931095,0.930405,0.00069,0.00111521378898,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=1:theta=0.99:rho=0.99,oracle_mc,,,,0.99,0.99,1,,,0.970299,0.9702,9.9e-05,0.00074519830839,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=2:theta=0.9:rho=0.9,oracle_mc,,,,0.9,0.9,2,,,0.59049,0.58969,0.0008,0.0021557630586,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=2:theta=0.9:rho=0.95,oracle_mc,,,,0.9,0.95,2,,,0.6579225,0.658335,0.0004125,0.00207853246214,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=2:theta=0.9:rho=0.99,oracle_mc,,,,0.9,0.99,2,,,0.7144929,0.71489,0.0003971,0.0019786042122,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=2:theta=0.95:rho=0.9,oracle_mc,,,,0.95,0.9,2,,,0.69447375,0.694275,0.00019875,0.002019130242,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=2:theta=0.95:rho=0.95,oracle_mc,,,,0.95,0.95,2,,,0.7737809375,0.77441,0.0006290625,0.0018318018425,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=2:theta=0.95:rho=0.99,oracle_mc,,,,0.95,0.99,2,,,0.8403132375,0.840785,0.0004717625,0.00160349482004,,,,,path closed form with node and edge states
stochastic_connectivity_synthetic,Synchronous chain,k=2:theta=0.99:rho=0.9,oracle_mc,,,,0.99,0.9,2,,,0.78594219,0.78591,3.219e-05,0.00179770195897,,,,,path closed form with node and edge states
